common_name,order,family,genus,species,audio_file_path
Common Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles,Chordeiles minor,bird_songs_of_the_rockies/140 Night Hawk - Common.m4a
Common Poorwill,Caprimulgiformes,Caprimulgidae,Phalaenoptilus,Phalaenoptilus nuttallii,bird_songs_of_the_rockies/164 Poorwill - Common.m4a
Common Raven,Passeriformes,Corvidae,Corvus,Corvus corax,bird_songs_of_the_rockies/168 Raven - Common.m4a
Downy Woodpecker,Piciformes,Picidae,Dryobates,Dryobates pubescens,bird_songs_of_the_rockies/246 Woodpecker - Downey.m4a
Dusky Flycatcher,Passeriformes,Tyrannidae,Empidonax,Empidonax oberholseri,bird_songs_of_the_rockies/075 Flycatcher - Dusky.m4a
Evening Grosbeak,Passeriformes,Fringillidae,Coccothraustes,Coccothraustes vespertinus,bird_songs_of_the_rockies/069 Evening Grosbeak.m4a
Golden-crowned Kinglet,Passeriformes,Regulidae,Regulus,Regulus satrapa,bird_songs_of_the_rockies/120 Kinglet - Golden-crowned.m4a
Gray Flycatcher,Passeriformes,Tyrannidae,Empidonax,Empidonax wrightii,bird_songs_of_the_rockies/076 Flycatcher - Gray.m4a
Gray Vireo,Passeriformes,Vireonidae,Vireo,Vireo vicinior,bird_songs_of_the_rockies/223 Vireo - Gray.m4a
Grace's Warbler,Passeriformes,Parulidae,Setophaga,Setophaga graciae,bird_songs_of_the_rockies/088 Grace's Warbler.m4a
Green-tailed Towhee,Passeriformes,Passerellidae,Pipilo,Pipilo chlorurus,bird_songs_of_the_rockies/096 Green-Tailed Towhee.m4a
Hairy Woodpecker,Piciformes,Picidae,Dryobates,Dryobates villosus,bird_songs_of_the_rockies/247 Woodpecker - Hairy.m4a
Hermit Thrush,Passeriformes,Turdidae,Catharus,Catharus guttatus,bird_songs_of_the_rockies/100 Hermit Thrush.m4a
House Finch,Passeriformes,Fringillidae,Haemorhous,Haemorhous mexicanus,bird_songs_of_the_rockies/103 House Finch.m4a
Horned Lark,Passeriformes,Alaudidae,Eremophila,Eremophila alpestris,bird_songs_of_the_rockies/102 Horned Lark.m4a
House Wren,Passeriformes,Troglodytidae,Troglodytes,Troglodytes aedon,bird_songs_of_the_rockies/253 Wren - House.m4a
